book_name,folder,sha8,subject,language,tracks,pages,duplicate_folders,note
physique-gsls-fr,physique-fr__189c5fc6,189c5fc6,Physique,fr,GS;LS,364,,Cover: Sciences Generales - Sciences de la Vie.
physique-lhse-fr,physique-lh-fr__55d3f2f2,55d3f2f2,Physique,fr,LH;SE,147,physique-se-fr__55d3f2f2,Cover: Lettres et Humanites. Shared with SE.
svt-lhse-fr,biology-lh-fr__877c8d5c,877c8d5c,Sciences de la vie,fr,LH;SE,154,biology-se-fr__877c8d5c,Cover: Lettres et Humanites - Sociologie et Economie.
svt-ls-fr,biology-fr__b41a0241,b41a0241,Sciences de la vie,fr,LS,396,,Cover: Sciences de la Vie.
ejteme3-se,ejtema3-se__7fa192d5,7fa192d5,اجتماع,ar,SE,283,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/ejtema3-se__7fa192d5/document.json), read by google-document-ai. Confirm against the cover before a pilot."
falsafe 3ame,falsafa-3amma-lh__0b41b677,0b41b677,فلسفة عامة,ar,LH,361,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/falsafa-3amma-lh__0b41b677/document.json), read by google-document-ai. Confirm against the cover before a pilot."
falsafe-lh,falsafa-arabiya-lh__86df4a40,86df4a40,فلسفة عامة,ar,LH,265,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/falsafa-arabiya-lh__86df4a40/document.json), read by google-document-ai. Confirm against the cover before a pilot."
fr-gs-ls,francais-gsls-fr__881289e3,881289e3,Francais,fr,GS;LS,147,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/francais-gsls-fr__881289e3/document.json), read by google-document-ai. Confirm against the cover before a pilot."
fr2-lh,francais-oeuvre-lh__7c70d592,7c70d592,Francais,fr,LH,252,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/francais-oeuvre-lh__7c70d592/document.json), read by google-document-ai. Confirm against the cover before a pilot."
fr1-lh,francais-plaisir-lh__251e4071,251e4071,Francais,fr,LH,316,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/francais-plaisir-lh__251e4071/document.json), read by google-document-ai. Confirm against the cover before a pilot."
french-se,francais-se-fr__a71d1e47,a71d1e47,Francais,fr,SE,228,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/francais-se-fr__a71d1e47/document.json), read by google-document-ai. Confirm against the cover before a pilot."
geo-se,geographie__231a8f14,231a8f14,جغرافيا,ar,GS;LS;SE;LH,113,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/geographie__231a8f14/document.json), read by google-document-ai. Confirm against the cover before a pilot."
tarbeya ls-gs,tarbiya__164689a6,164689a6,تربية وطنية,ar,GS;LS;SE;LH,229,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/tarbiya__164689a6/document.json), read by google-document-ai. Confirm against the cover before a pilot."
eng,themes-gsls-en__a301fec1,a301fec1,English,en,GS;LS,139,,"Track/subject/language originally taken from the ingestion record of the book's first scan (c6e87a91, physically out of order — see refile-english-gsls-after-rescan.ts), read by google-document-ai. That scan and its taxonomy have since been deleted as stale; this row's own taxonomy (a301fec1.json) is hand-authored, see taxonomy_themes_gsls_en.py."
theme1-lh,themes-lh-en__43413a57,43413a57,English,en,LH,346,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/themes-lh-en__43413a57/document.json), read by google-document-ai. Confirm against the cover before a pilot."
eng-se,themes-se-en__d5989526,d5989526,English,en,SE,148,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/themes-se-en__d5989526/document.json), read by google-document-ai. Confirm against the cover before a pilot."
eng2,themes-workbook-gsls-en__08c8e964,08c8e964,English,en,,203,,"Scan pages are physically out of order (walking the scan, printed page numbers run e.g. 21, 19, 22, 20, 24 instead of increasing) — same defect themes-gsls-en__c6e87a91 had before its re-scan (a301fec1). Its taxonomy could only resolve 3 coarse chapters (Natural Phenomena/Technology/Current Concerns), which do not match the coursebook's 9 chapter names and were loading as 3 separate junk chapters holding 81 misfiled chunks with 0 questions attached. tracks left blank on purpose so load-chunks/taxonomy-loader skip this book; needs a re-scan before it can rejoin GS;LS."
theme-w,themes-workbook-lh-en__fbcedbf7,fbcedbf7,English,en,LH,329,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/themes-workbook-lh-en__fbcedbf7/document.json), read by google-document-ai. Confirm against the cover before a pilot."
eng-w-se,themes-workbook-se-en__1539569c,1539569c,English,en,SE,111,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/themes-workbook-se-en__1539569c/document.json), read by google-document-ai. Confirm against the cover before a pilot."
theme2-lh,themes2-lh-en__b5f6f915,b5f6f915,English,en,LH,331,,"Track/subject/language taken from the book's own ingestion record (corpus/meta/themes2-lh-en__b5f6f915/document.json), read by google-document-ai. Confirm against the cover before a pilot."
falsafe-gsls,falsafa-gsls__c804d5ac,c804d5ac,فلسفة عامة,ar,GS;LS;SE,197,,Cover: فروع الاجتماع والاقتصاد، العلوم العامة - علوم الحياة. CRDP national textbook; the LH philosophy books are a different edition.
arabe-gsls-se,arabic-lit-gsls-se__58bea168,58bea168,أدب عربي,ar,GS;LS;SE,107,,Cover: الأدب العربي، فروع الاجتماع والاقتصاد، العلوم العامة - علوم الحياة. Imported from .docx; page numbers are synthetic.
arabe-lh,arabic-lit-lh__3c72187a,3c72187a,أدب عربي,ar,LH,205,,Cover: الأدب العربي، فرع الآداب والإنسانيات. Imported from .docx; page numbers are synthetic.
kawa3ed-lh,arabic-grammar-lh__27a53b20,27a53b20,أدب عربي,ar,LH,144,,Cover: قواعد اللغة العربية والبلاغة والعروض، فرع الآداب والإنسانيات. Imported from .docx; page numbers are synthetic.
tarikh-all,history-all__edff34c6,edff34c6,تاريخ,ar,GS;LS;SE;LH,40,,"NOT a CRDP textbook. Cover: التاريخ المعاصر للبنان والدول العربية، السنة الثانوية الثالثة جميع الفروع، ثانوية عمقا المختلطة، إعداد المعلّمة فادية مصطفى عبّاس، معدّلة لسنة 2025-2026 — a teacher's revision summary, not the national edition. Read by gpt-5.5 vision because the PDF's own text layer is corrupt (maps ث to ا and ش to a space). Cite accordingly."
ektesad-se,economics-se__7979fbf6,7979fbf6,اقتصاد,ar,SE,315,,"Cover: التنمية والسياسات الاقتصادية، التعليم الثانوي السنة الثالثة، فرع الاجتماع والاقتصاد — CRDP national textbook. Image-only scan with no text layer at all; read by gpt-5.4-mini vision, which on test pages matched the stronger model on prose and kept percent signs the stronger model dropped."
tarikh-lubnan-arab,tarikh-lubnan-arab__f2a0ce7d,f2a0ce7d,تاريخ,ar,GS;LS;SE;LH,89,,"Assembled from six scanned parts in corpus/history (no text layer, read by ocr_pdf.py) and renumbered onto the page numbers the book prints. Cover: المنهج الجديد في التاريخ - لبنان والعالم العربي, حسين عبيد / نادية حمزة, دار بركات. Printed 29-30 are missing from the scan."
